AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
Northwest AEA,Crawford County,Denison Community School District,Denison Alternative High School,1701-0118,High,"09, 10, 11, 12",2014-2015,Unable to Rate
Northwest AEA,Crawford County,Denison Community School District,Broadway Elementary School,1701-0409,Elementary,"04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Cattell Elementary School,1737-0445,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Greenwood Elementary School,1737-0553,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Pleasant Hill Elementary School,1737-0782,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,River Woods Elementary School,1737-0790,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Stowe Elementary School,1737-0859,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
AEA 267,Buchanan County,East Buchanan Community School District,East Buchanan High School,1963-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Mississippi Bend AEA,Jackson County,Easton Valley Community School District,Easton Valley High School,1965-0118,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Unable to Rate
Northwest AEA,Woodbury County,River Valley Community School District,River Valley Elementary,1975-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Keystone AEA,Delaware County,Edgewood-Colesburg Community School District,Edgewood-Colesburg Elementary School,1989-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Needs Improvement
AEA 267,Hardin County,Eldora-New Providence Community School District,Eldora-New Providence High School,2007-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Prairie Lakes AEA,Emmet County,Estherville Lincoln Central Community School District,Roosevelt Elementary,2124-0409,Elementary,"03, 04",2014-2015,Needs Improvement
Heartland AEA,Audubon County,Exira-Elk Horn- Kimballton Community Sch Dist,Exira/EHK Middle School,2151-0209,Middle,"KG,  04, 05, 06, 07, 08",2014-2015,Acceptable
Great Prairie AEA,Jefferson County,Fairfield Community School District,Libertyville Elementary School,2169-0445,Elementary,"KG,  01, 02, 03, 04",2014-2015,Unable to Rate
