AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
Prairie Lakes AEA,Buena Vista County,Sioux Central Community School District,Sioux Central Elementary School,6035-0209,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Northwest AEA,Woodbury County,Sioux City Community School District,East Middle School,6039-0209,Middle,"06, 07, 08, 09, 11",2015-2016,Acceptable
Northwest AEA,Woodbury County,Sioux City Community School District,Irving Elementary School,6039-0526,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Priority
Northwest AEA,Woodbury County,Sioux City Community School District,Lincoln Elementary School,6039-0544,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Needs Improvement
Grant Wood AEA,Johnson County,Solon Community School District,Solon Middle School,6093-0209,Middle,"05, 06, 07, 08",2015-2016,High-Performing
AEA 267,Grundy County,Gladbrook-Reinbeck Community School District,Gladbrook-Reinbeck High School,2502-0172,High,"07, 08, 09, 10, 11, 12",2015-2016,Acceptable
AEA 267,Poweshiek County,Grinnell-Newburg Community School District,Grinnell Community Senior High School,2709-0109,High,"09, 10, 11, 12",2015-2016,Acceptable
AEA 267,Poweshiek County,Grinnell-Newburg Community School District,Fairview Elementary School,2709-0436,Elementary,"KG,  01, 02",2015-2016,Unable to Rate
Green Hills AEA,Cass County,Griswold Community School District,Lewis Elementary School,2718-0436,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
AEA 267,Grundy County,Grundy Center Community School District,Grundy Center Elementary School,2727-0409,Elementary,"KG,  01, 02, 03, 04",2015-2016,Acceptable
Grant Wood AEA,Iowa County,H-L-V Community School District,H-L-V Elementary School,2766-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
Green Hills AEA,Freemont County,Hamburg Community School District,Marnie Simons Elementary School,2772-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Needs Improvement
AEA 267,Tama County,South Tama County,South Tama County Middle School,6098-0209,Middle,"05, 06, 07, 08",2015-2016,Acceptable
Keystone AEA,Winneshiek County,South Winneshiek Community School District,South Winneshiek High School,6100-0109,High,"09, 10, 11, 12",2015-2016,Commendable
Heartland AEA,Polk County,Southeast Polk Community School District,Clay Elementary,6101-0454,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
Prairie Lakes AEA,Clay County,Spencer Community School District,Johnson Elementary,6102-0421,Elementary,"KG,  01",2015-2016,Unable to Rate
Prairie Lakes AEA,Dickinson County,Spirit Lake Community School District,Spirit Lake Elementary School,6120-0409,Elementary,"KG,  01, 02, 03, 04",2015-2016,Commendable
Green Hills AEA,Montgomery County,Stanton Community School District,Stanton Elementary School,6165-0409,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
AEA 267,Bremer County,Sumner-Fredericksburg Community School District,Durant Elementary School,6273-0409,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
Keystone AEA,Howard County,Howard-Winneshiek Community School District,Crestwood Elementary School,3029-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
AEA 267,Buchanan County,Independence Community School District,East Elementary School,3105-0409,Elementary,"KG,  01, 02",2015-2016,Unable to Rate
Grant Wood AEA,Johnson County,Iowa City Community School District,Elizabeth Tate Alt. High School,3141-0136,High,"09, 10, 11, 12",2015-2016,Unable to Rate
Grant Wood AEA,Johnson County,Iowa City Community School District,Ernest Horn Elementary School,3141-0415,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Grant Wood AEA,Johnson County,Iowa City Community School District,Helen Lemme Elementary School,3141-0417,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
AEA 267,Hardin County,Iowa Falls Community School District,Rock Run Elementary,3150-0409,Elementary,"03, 04, 05",2015-2016,Acceptable
Grant Wood AEA,Iowa County,Iowa Valley Community School District,Iowa Valley Jr-Sr High School,3154-0172,High,"07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Prairie Lakes AEA,Greene County,Greene County Community School District,Greene County Middle School,3195-0209,Middle,"07, 08",2015-2016,Acceptable
AEA 267,Buchanan County,Jesup Community School District,Jesup Middle School,3204-0418,Middle,"05, 06, 07, 08",2015-2016,Acceptable
AEA 267,Buchanan County,Jesup Community School District,Perry #1 Elementary School,3204-0420,Elementary,"KG,  01, 02, 03, 04, 05, 06, 07, 08",2015-2016,Unable to Rate
Heartland AEA,Polk County,Johnston Community School District,Beaver Creek Elem School,3231-0415,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
Heartland AEA,Marion County,Knoxville Community School District,Northstar Elementary School,3375-0427,Elementary,"02, 03, 04, 05",2015-2016,Acceptable
Grant Wood AEA,Cedar County,Tipton Community School District,Tipton Elementary School,6408-0409,Elementary,"KG,  01, 02, 03, 04",2015-2016,High-Performing
Green Hills AEA,Pottawattamie County,Treynor Community School District,Treynor High School,6453-0172,High,"09, 10, 11, 12",2015-2016,High-Performing
Great Prairie AEA,Keokuk County,Tri-County Community School District,Tri-County Junior High School,6462-0209,Middle,"07, 08",2015-2016,Needs Improvement
Heartland AEA,Marion County,Twin Cedars Community School District,Twin Cedars Jr-Sr High School,6512-0109,High,"07, 08, 09, 10, 11, 12",2015-2016,Needs Improvement
Heartland AEA,Polk County,Urbandale Community School District,Rolling Green Elementary School,6579-0441,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
Heartland AEA,Polk County,Urbandale Community School District,Webster Elementary School,6579-0455,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
Great Prairie AEA,Van Buren County,Van Buren Community School District,Van Buren  Elementary School,6592-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Priority
Northwest AEA,Plymouth County,Le Mars Community School District,Kluckhohn Elementary School,3600-0449,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
Green Hills AEA,Taylor County,Lenox Community School District,Lenox Elementary School,3609-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Heartland AEA,Boone County,Madrid Community School District,Madrid Elementary School,3942-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
Green Hills AEA,Mills County,East Mills Community School District,East Mills Jr/Sr High School,3978-0172,High,"07, 08, 09, 10, 11, 12",2015-2016,Needs Improvement
Prairie Lakes AEA,Calhoun County,Manson Northwest Webster Community School District,Manson Northwest Webster Junior High/High School,4023-0109,High,"07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Northwest AEA,Monona County,Maple Valley-Anthon Oto Community School District,Anthon Elementary,4033-0409,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
AEA 267,Marshall County,Marshalltown Community School District,Fisher Elementary School,4104-0445,Elementary,"KG,  01, 02, 03, 04",2015-2016,Needs Improvement
AEA 267,Marshall County,Marshalltown Community School District,Lenihan Intermediate School,4104-0479,Elementary,"05, 06",2015-2016,Needs Improvement
AEA 267,Marshall County,Marshalltown Community School District,Woodbury Elementary School,4104-0491,Elementary,"KG,  01, 02, 03, 04",2015-2016,Priority
AEA 267,Cerro Gordo County,Mason City Community School District,Roosevelt Elementary School,4131-0481,Elementary,"KG,  01, 02, 03, 04",2015-2016,Needs Improvement
Grant Wood AEA,Jones County,Midland Community School District,Midland Elementary,4269-0418,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
AEA 267,Poweshiek County,Montezuma Community School District,Montezuma Junior High School,4437-0209,Middle,"07, 08",2015-2016,Commendable
Green Hills AEA,Decatur County,Mormon Trail Community School District,Mormon Trail Jr-Sr High School,4505-0172,High,"07, 08, 09, 10, 11, 12",2015-2016,Priority
Great Prairie AEA,Appanoose County,Moulton-Udell Community School District,Moulton-Udell High School,4518-0172,High,"07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Great Prairie AEA,Henry County,Mount Pleasant Community School District,Mount Pleasant Middle  School,4536-0209,Middle,"06, 07, 08",2015-2016,Needs Improvement
AEA 267,Bremer County,Nashua-Plainfield Community School District,Cedar Lake Alternative School,4599-0118,High,"10, 11, 12",2015-2016,Unable to Rate
Prairie Lakes AEA,Buena Vista County,Newell-Fonda Community School District,Newell-Fonda Middle Sch.,4644-0109,Middle,"06, 07, 08",2015-2016,Acceptable
Prairie Lakes AEA,Buena Vista County,Newell-Fonda Community School District,Newell-Fonda Lower  Elementary,4644-0409,Elementary,"KG,  01, 02, 03",2015-2016,Unable to Rate
Heartland AEA,Polk County,North Polk Community School District,North Polk Central Elementary School,4779-0412,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,High-Performing
Mississippi Bend AEA,Scott County,North Scott Community School District,Neil Armstrong Elementary School,4784-0445,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
AEA 267,Worth County,Northwood-Kensett Community School District,Northwood-Kensett Jr-Sr High School,4788-0109,High,"07, 08, 09, 10, 11, 12",2015-2016,Commendable
Heartland AEA,Warren County,Norwalk Community School District,Norwalk Middle School,4797-0209,Middle,"06, 07, 08",2015-2016,High-Performing
Green Hills AEA,Adair County,Orient-Macksburg Community School District,Orient-Macksburg Senior High School,4978-0172,High,"07, 08, 09, 10, 11, 12",2015-2016,Needs Improvement
Green Hills AEA,Adair County,Orient-Macksburg Community School District,Orient Elementary School,4978-0411,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
AEA 267,Mitchell County,Osage Community School District,Osage High School,4995-0109,High,"09, 10, 11, 12",2015-2016,Commendable
Great Prairie AEA,Wapello County,Ottumwa Community School District,James Elementary School,5049-0459,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Needs Improvement
Heartland AEA,Jasper County,PCM Community School District,PCM Middle School,5160-0209,Middle,"06, 07, 08",2015-2016,Commendable
Mississippi Bend AEA,Scott County,Pleasant Valley Community School District,Hopewell Elementary,5250-0407,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Exceptional
Mississippi Bend AEA,Scott County,Pleasant Valley Community School District,Pleasant View Elementary School,5250-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Prairie Lakes AEA,Pocahontas County,Pocahontas Area Community School District,Pocahontas Area Regional Learning Center,5283-0118,High,"09, 10, 11, 12",2015-2016,Unable to Rate
Northwest AEA,Sioux County,Rock Valley Community School District,Rock Valley Jr-Sr High School,5607-0172,High,"06, 07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Northwest AEA,Sioux County,Rock Valley Community School District,Rock Valley Elementary School,5607-0409,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
AEA 267,Franklin County,West Fork Community School District,West Fork  Elementary Sheffield,5922-0418,Elementary,"KG,  01",2015-2016,Unable to Rate
Northwest AEA,Osceola County,Sibley-Ocheyedan Community School District,Sibley-Ocheyedan Middle School,5994-0209,Middle,"05, 06, 07, 08",2015-2016,Acceptable
Northwest AEA,Woodbury County,Sioux City Community School District,Bryant Elementary School,6039-0418,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
Northwest AEA,Woodbury County,Sioux City Community School District,Nodland Elementary School,6039-0573,Elementary,"KG,  01, 02, 04",2015-2016,Unable to Rate
AEA 267,Tama County,South Tama County,South Tama County High School,6098-0109,High,"09, 10, 11, 12",2015-2016,Acceptable
AEA 267,Tama County,South Tama County,South Tama County Elementary School,6098-0439,Elementary,"KG,  01, 02, 03, 04",2015-2016,Acceptable
Keystone AEA,Winneshiek County,South Winneshiek Community School District,South Winneshiek Elementary School,6100-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
Heartland AEA,Polk County,Southeast Polk Community School District,Southeast Polk Junior High School,6101-0209,Middle,"07, 08",2015-2016,Commendable
Keystone AEA,Fayette County,Starmont Community School District,Starmont Elementary School,6175-0418,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
Prairie Lakes AEA,Buena Vista County,Storm Lake Community School District,Storm Lake Middle School,6219-0209,Middle,"05, 06, 07, 08, 09, 10",2015-2016,Needs Improvement
Heartland AEA,Dallas County,West Central Valley Community School District,West Central Valley Middle School,6264-0172,Middle,"06, 07, 08",2015-2016,Commendable
AEA 267,Bremer County,Sumner-Fredericksburg Community School District,Sumner-Fredericksburg Middle School,6273-0209,Middle,"06, 07, 08",2015-2016,Acceptable
Grant Wood AEA,Cedar County,Tipton Community School District,Tipton High School,6408-0109,High,"09, 10, 11, 12",2015-2016,Acceptable
Green Hills AEA,Pottawattamie County,Tri-Center Community School District,Tri-Center Elementary School,6460-0417,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
AEA 267,Bremer County,Tripoli Community School District,Tripoli Middle/Sr High School,6471-0172,High,"06, 07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Keystone AEA,Winneshiek County,Turkey Valley Community School District,Turkey Valley Elementary School,6509-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Green Hills AEA,Pottawattamie County,Underwood Community School District,Underwood High School,6534-0109,High,"09, 10, 11, 12",2015-2016,High-Performing
Green Hills AEA,Pottawattamie County,Underwood Community School District,Underwood Middle School,6534-0209,Middle,"06, 07, 08",2015-2016,Needs Improvement
Heartland AEA,Polk County,Urbandale Community School District,Valerius Elementary School,6579-0448,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
Heartland AEA,Dallas County,Van Meter Community School District,Van Meter Jr-Sr High School,6615-0172,High,"06, 07, 08, 09, 10, 11, 12",2015-2016,Commendable
Green Hills AEA,Montgomery County,Villisca Community School District,Sylvia Enarson Elementary School,6651-0409,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
Great Prairie AEA,Louisa County,Wapello Community School District,Wapello Junior High School,6759-0209,Middle,"07, 08",2015-2016,Acceptable
AEA 267,Black Hawk County,Waterloo Community School District,Hoover Middle School,6795-0215,Middle,"06, 07, 08",2015-2016,Acceptable
AEA 267,Black Hawk County,Waterloo Community School District,George Washington Carver Academy,6795-0218,Middle,"06, 07, 08",2015-2016,Priority
Heartland AEA,Dallas County,Waukee Community School District,Waukee Senior High School,6822-0109,High,"10, 11, 12",2015-2016,Commendable
Heartland AEA,Dallas County,Waukee Community School District,Maple Grove Elementary,6822-0445,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
AEA 267,Bremer County,Waverly-Shell Rock Community School District,Greenview Alternative School,6840-0118,High,"09, 10, 11, 12",2015-2016,Unable to Rate
AEA 267,Bremer County,Waverly-Shell Rock Community School District,Waverly-Shell Rock Middle School,6840-0209,Middle,"05, 06, 07, 08",2015-2016,High-Performing
AEA 267,Bremer County,Waverly-Shell Rock Community School District,Margaretta Carey Elementary School,6840-0427,Elementary,"KG,  01, 02, 03, 04",2015-2016,High-Performing
AEA 267,Bremer County,Waverly-Shell Rock Community School District,West Cedar Elementary School,6840-0454,Elementary,"KG,  01, 02, 03, 04",2015-2016,Exceptional
Great Prairie AEA,Des Moines County,West Burlington Independent School District,West Burlington Junior High School,6937-0209,Middle,"06, 07, 08",2015-2016,Needs Improvement
Keystone AEA,Delaware County,West Delaware County Community School District,West Delaware Middle School,6950-0209,Middle,"05, 06, 07, 08",2015-2016,Commendable
Keystone AEA,Delaware County,West Delaware County Community School District,Lambert Elementary School,6950-0427,Elementary,"KG,  01, 02, 03, 04",2015-2016,Commendable
Heartland AEA,Polk County,West Des Moines Community School District,Stilwell Junior High School,6957-0236,Middle,"07, 08",2015-2016,High-Performing
Heartland AEA,Polk County,West Des Moines Community School District,Crestview School of Inquiry,6957-0427,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
Keystone AEA,Dubuque County,Western Dubuque Community School District,Cascade Elementary School,6961-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Green Hills AEA,Harrison County,West Harrison Community School District,West Harrison High School,6969-0109,High,"06, 07, 08, 09, 10, 11, 12",2015-2016,Acceptable
AEA 267,Marshall County,West Marshall Community School District,West Marshall Elementary School,6985-0436,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
Northwest AEA,Sioux County,West Sioux Community School District,Ireton Elementary School,6990-0418,Elementary,"KG,  01",2015-2016,Unable to Rate
Northwest AEA,Woodbury County,Westwood Community School District,Westwood Elementary School,6992-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Heartland AEA,Madison County,Winterset Community School District,Winterset Middle School,7056-0209,Elementary,"04, 05, 06",2015-2016,Acceptable
Green Hills AEA,Harrison County,Woodbine Community School District,Woodbine High School,7092-0109,High,"07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Heartland AEA,Dallas County,Woodward-Granger Community School District,Woodward-Granger Middle School,7110-0409,Middle,"06, 07, 08",2015-2016,Commendable
Keystone AEA,Dubuque County,Western Dubuque Community School District,Bernard Elementary School,6961-0409,Elementary,"KG,  02, 04",2015-2016,Commendable
Northwest AEA,Monona County,West Monona Community School District,West Monona High School,6987-0109,High,"09, 10, 11, 12",2015-2016,Needs Improvement
Grant Wood AEA,Iowa County,Williamsburg Community School District,Mary Welsh Elementary,7029-0200,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
Heartland AEA,Dallas County,Woodward-Granger Community School District,Woodward-Granger Elementary School,7110-0418,Elementary,"02, 03, 04, 05",2015-2016,Acceptable
Northwest AEA,Woodbury County,Westwood Community School District,Westwood High School,6992-0109,High,"07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Northwest AEA,Woodbury County,Woodbury Central Community School District,Moville Elementary School,7098-0418,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
Keystone AEA,Fayette County,West Central Community School District,West Central Charter High School,6943-0109,High,"09, 10, 11, 12",2015-2016,Unable to Rate
Heartland AEA,Polk County,West Des Moines Community School District,Valley Southwoods,6957-0127,High,"07, 08, 09",2015-2016,Unable to Rate
Heartland AEA,Polk County,West Des Moines Community School District,Western Hills Elementary School,6957-0472,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Northwest AEA,Monona County,West Monona Community School District,West Monona Middle Sch,6987-0209,Middle,"06, 07, 08",2015-2016,Priority
Grant Wood AEA,Benton County,Vinton-Shellsburg Community School District,Tilford Elementary School,6660-0409,Elementary,"KG,  01, 02, 03, 04",2015-2016,High-Performing
Prairie Lakes AEA,Sac County,East Sac County Community School District,East Sac County  Elementary Sac Building,6741-0427,Elementary,"KG,  01, 02, 03, 04",2015-2016,Acceptable
Grant Wood AEA,Washington County,Washington Community School District,Washington High School,6768-0109,High,"09, 10, 11, 12",2015-2016,Acceptable
Grant Wood AEA,Washington County,Washington Community School District,Lincoln Upper Elementary School,6768-0409,Elementary,"03, 04, 05",2015-2016,Acceptable
AEA 267,Black Hawk County,Waterloo Community School District,Expo Alternative Learning Center,6795-0127,High,"06, 07, 08, 09, 10, 11, 12",2015-2016,Priority
AEA 267,Black Hawk County,Waterloo Community School District,Bunger Middle School,6795-0200,Middle,"06, 07, 08",2015-2016,Acceptable
AEA 267,Black Hawk County,Waterloo Community School District,Poyner Elementary,6795-0427,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
AEA 267,Black Hawk County,Waterloo Community School District,Highland Elementary School,6795-0554,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
Great Prairie AEA,Wayne County,Wayne Community School District,Wayne Community Jr-Sr High School,6854-0109,High,"07, 08, 09, 10, 11, 12",2015-2016,Commendable
Prairie Lakes AEA,Palo Alto County,West Bend-Mallard Community School District,Mallard Elementary School,6921-0418,Elementary,"KG,  01, 02, 03, 04",2015-2016,High-Performing
Heartland AEA,Polk County,West Des Moines Community School District,Valley High School,6957-0109,High,"10, 11, 12",2015-2016,Commendable
Heartland AEA,Polk County,West Des Moines Community School District,Indian Hills Junior High School,6957-0218,Middle,"07, 08",2015-2016,Commendable
Heartland AEA,Polk County,West Des Moines Community School District,Fairmeadows Elementary School,6957-0445,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Heartland AEA,Polk County,West Des Moines Community School District,Hillside Elementary School,6957-0447,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
Heartland AEA,Polk County,West Des Moines Community School District,Jordan Creek Elementary School,6957-0450,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Keystone AEA,Dubuque County,Western Dubuque Community School District,Western Dubuque High School,6961-0109,High,"09, 10, 11, 12",2015-2016,Acceptable
Keystone AEA,Dubuque County,Western Dubuque Community School District,Dyersville Elementary  School,6961-0427,Elementary,"KG,  01, 02, 03, 04",2015-2016,Commendable
Keystone AEA,Dubuque County,Western Dubuque Community School District,Epworth Elementary School,6961-0436,Elementary,"KG,  01, 02, 03, 04",2015-2016,Commendable
Green Hills AEA,Harrison County,West Harrison Community School District,West Harrison Elementary,6969-0409,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Needs Improvement
Mississippi Bend AEA,Muscatine County,West Liberty Community School District,West Liberty  Middle School,6975-0209,Middle,"06, 07, 08",2015-2016,Commendable
Northwest AEA,Lyon County,West Lyon Community School District,West Lyon Elementary School,6983-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
AEA 267,Marshall County,West Marshall Community School District,West Marshall Middle School,6985-0209,Middle,"06, 07, 08",2015-2016,Commendable
Northwest AEA,Monona County,West Monona Community School District,West Monona Elementary,6987-0409,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Needs Improvement
Northwest AEA,Woodbury County,Woodbury Central Community School District,Woodbury Central High School,7098-0109,High,"09, 10, 11, 12",2015-2016,Commendable
Green Hills AEA,Harrison County,Woodbine Community School District,Woodbine Elementary School,7092-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Northwest AEA,Woodbury County,Woodbury Central Community School District,Woodbury Central Middle School,7098-0409,Middle,"06, 07, 08",2015-2016,Commendable
Mississippi Bend AEA,Muscatine County,Muscatine Community School District,West Middle School,4581-0218,Middle,"06, 07, 08",2015-2016,Needs Improvement
AEA 267,Bremer County,Nashua-Plainfield Community School District,Nashua-Plainfield Intermediate School,4599-0427,Elementary,"04, 05, 06",2015-2016,Commendable
Heartland AEA,Story County,Nevada Community School District,Nevada Middle School,4617-0218,Middle,"05, 06, 07, 08",2015-2016,Acceptable
Keystone AEA,Chickasaw County,New Hampton Community School District,New Hampton High School,4662-0109,High,"09, 10, 11, 12",2015-2016,Acceptable
Heartland AEA,Jasper County,Newton Community School District,Basics and Beyond Alternative School,4725-0127,High,"10, 11, 12",2015-2016,Unable to Rate
Mississippi Bend AEA,Scott County,North Scott Community School District,Edward White Elementary School,4784-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
AEA 267,Tama County,North Tama County Community School District,North Tama High School,4785-0109,High,"07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Keystone AEA,Winneshiek County,North Winneshiek Community School District,North Winneshiek  Middle School,4787-0172,Middle,"06, 07, 08",2015-2016,Commendable
AEA 267,Worth County,Northwood-Kensett Community School District,Northwood-Kensett Elementary,4788-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Heartland AEA,Warren County,Norwalk Community School District,Oviatt Elementary School,4797-0418,Elementary,"KG,  01, 02",2015-2016,Unable to Rate
Prairie Lakes AEA,Dickinson County,Okoboji Community School District,Okoboji Middle School,4890-0209,Middle,"05, 06, 07, 08",2015-2016,Acceptable
Grant Wood AEA,Jones County,Olin Consolidated School District,Olin Elementary School,4905-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,High-Performing
Great Prairie AEA,Wapello County,Ottumwa Community School District,Evans Middle School,5049-0209,Middle,"06, 07, 08",2015-2016,Acceptable
Heartland AEA,Dallas County,Woodward-Granger Community School District,Woodward Academy,7110-0118,High,"07, 08, 09, 10, 11, 12",2015-2016,Unable to Rate
Heartland AEA,Dallas County,Woodward-Granger Community School District,Woodward-Granger High School,7110-0109,High,"09, 10, 11, 12",2015-2016,Commendable
Great Prairie AEA,Wapello County,Ottumwa Community School District,Eisenhower Elementary School,5049-0423,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
Heartland AEA,Dallas County,Perry Community School District,Perry High School,5184-0109,High,"09, 10, 11, 12",2015-2016,Needs Improvement
Mississippi Bend AEA,Scott County,Pleasant Valley Community School District,Pleasant Valley  Junior  High School,5250-0209,Middle,"07, 08",2015-2016,Exceptional
Keystone AEA,Allamakee County,Postville Community School District,John R Mott High School,5310-0172,High,"07, 08, 09, 10, 11, 12",2015-2016,Priority
Green Hills AEA,Montgomery County,Red Oak Community School District,Washington Intermediate  School,5463-0445,Elementary,"04, 05",2015-2016,Commendable
Northwest AEA,Plymouth County,Remsen-Union Community School District,Remsen-Union Elementary School,5486-0409,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Needs Improvement
Keystone AEA,Howard County,Riceville Community School District,Riceville High School,5508-0109,High,"06, 07, 08, 09, 10, 11, 12",2015-2016,Needs Improvement
Green Hills AEA,Pottawattamie County,Riverside Community School District,Riverside Community Intermediate School,5510-0427,Elementary,"04, 05, 06",2015-2016,Acceptable
Heartland AEA,Story County,Roland-Story Community School District,Roland-Story High School,5643-0109,High,"09, 10, 11, 12",2015-2016,Acceptable
Prairie Lakes AEA,Palo Alto County,Ruthven-Ayrshire Community School District,Ruthven-Ayrshire High School,5724-0109,High,"07, 08, 09, 10, 11, 12",2015-2016,Acceptable
AEA 267,Mitchell County,St Ansgar Community School District,St Ansgar High School,5751-0109,High,"09, 10, 11, 12",2015-2016,Commendable
Northwest AEA,Woodbury County,Sergeant Bluff-Luton Community School District,Sergeant Bluff-Luton Middle School,5877-0418,Middle,"06, 07, 08",2015-2016,Commendable
Great Prairie AEA,Wayne County,Seymour Community School District,Seymour High School,5895-0109,High,"07, 08, 09, 10, 11, 12",2015-2016,Commendable
Green Hills AEA,Page County,Shenandoah Community School District,Shenandoah Elementary  School,5976-0409,Elementary,"KG,  01, 02, 03, 04",2015-2016,Commendable
Northwest AEA,Woodbury County,Sioux City Community School District,North High School,6039-0136,High,"06, 07, 08, 09, 10, 11, 12",2015-2016,Priority
Northwest AEA,Woodbury County,Sioux City Community School District,Riverside Elementary School,6039-0580,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
Prairie Lakes AEA,Hamilton County,South Hamilton Community School District,South Hamilton Elem,6095-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
Heartland AEA,Polk County,Southeast Polk Community School District,Delaware Elementary School,6101-0423,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Acceptable
Heartland AEA,Polk County,Southeast Polk Community School District,Runnells Elementary School,6101-0436,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
Prairie Lakes AEA,Clay County,Spencer Community School District,Spencer High School,6102-0109,High,"08, 09, 10, 11, 12",2015-2016,Acceptable
Green Hills AEA,Montgomery County,Stanton Community School District,Stanton High School,6165-0109,High,"06, 07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Prairie Lakes AEA,Buena Vista County,Storm Lake Community School District,Storm Lake Elementary,6219-0418,Elementary,"KG,  01, 02, 03, 04",2015-2016,Acceptable
AEA 267,Bremer County,Sumner-Fredericksburg Community School District,Sumner-Fredericksburg HS,6273-0109,High,"09, 10, 11, 12",2015-2016,Acceptable
Green Hills AEA,Pottawattamie County,Tri-Center Community School District,Tri-Center High School,6460-0109,High,"09, 10, 11, 12",2015-2016,Acceptable
