Year,County,AEA,District,District Name,Diploma Count,Private 4-Year,Public 4-Year,Community College,Private 2-Year,Other Training,Employment,Homemaker,Military,Unknown
2015-2016,78,13,6534,Underwood,61,9,21,28,0,1,0,0,1,1
2015-2016,07,07,6536,Union,81,6,23,37,0,1,5,0,2,7
2015-2016,08,11,6561,United,,,,,,,,,,
2015-2016,77,11,6579,Urbandale,319,48,112,109,0,4,37,0,3,6
2015-2016,33,01,6591,Valley,,,,,,,,,,
2015-2016,89,15,6592,Van Buren,43,2,8,24,0,0,8,0,0,1
2015-2016,25,11,6615,Van Meter,58,13,20,17,0,2,4,0,2,0
2015-2016,69,13,6651,Villisca,,,,,,,,,,
2015-2016,06,10,6660,Vinton-Shellsburg,131,21,32,34,1,3,23,1,5,11
2015-2016,44,15,6700,Waco,21,0,10,3,1,0,4,0,2,1
2015-2016,81,05,6741,East Sac County,69,6,22,26,3,1,10,0,1,0
2015-2016,78,13,6750,Walnut,,,,,,,,,,
2015-2016,58,15,6759,Wapello,49,1,5,26,0,5,9,0,2,1
2015-2016,09,07,6762,Wapsie Valley,49,10,12,18,3,2,3,0,1,0
2015-2016,92,10,6768,Washington,105,7,34,37,0,5,14,0,2,6
2015-2016,07,07,6795,Waterloo,637,36,182,235,6,25,34,1,14,104
2015-2016,25,11,6822,Waukee,551,59,275,108,5,5,96,0,3,0
2015-2016,09,07,6840,Waverly-Shell Rock,160,49,39,52,3,1,8,0,3,5
2015-2016,93,15,6854,Wayne,21,2,6,7,2,1,3,0,0,0
2015-2016,40,05,6867,Webster City,138,9,30,75,1,1,21,0,1,0
2015-2016,74,05,6921,West Bend-Mallard,31,0,9,6,0,2,9,0,4,1
2015-2016,16,10,6930,West Branch,56,8,15,26,1,0,4,0,2,0
2015-2016,29,15,6937,West Burlington Ind,53,4,4,34,0,0,9,0,2,0
2015-2016,33,01,6943,West Central,31,4,10,7,0,2,2,1,2,3
2015-2016,28,01,6950,West Delaware County,121,23,35,45,0,1,4,0,5,8
2015-2016,77,11,6957,West Des Moines,655,84,285,168,1,10,37,0,10,60
2015-2016,31,01,6961,Western Dubuque,223,30,79,56,0,2,19,0,4,33
2015-2016,43,13,6969,West Harrison,25,1,7,12,0,0,4,0,1,0
2015-2016,70,09,6975,West Liberty,71,3,25,32,1,6,2,0,1,1
2015-2016,60,12,6983,West Lyon,41,12,14,7,0,0,5,0,1,2
2015-2016,64,07,6985,West Marshall,55,5,18,26,1,2,2,0,1,0
2015-2016,67,12,6987,West Monona,44,3,10,18,2,1,3,0,4,3
2015-2016,84,12,6990,West Sioux,40,4,11,16,0,0,9,0,0,0
2015-2016,97,12,6992,Westwood,34,5,9,4,0,1,9,0,4,2
2015-2016,67,12,7002,Whiting,12,3,4,3,0,0,2,0,0,0
2015-2016,48,10,7029,Williamsburg,85,12,27,31,0,4,5,0,0,6
2015-2016,70,09,7038,Wilton,50,5,8,27,0,0,8,0,2,0
2015-2016,44,15,7047,Winfield-Mt Union,36,8,6,15,0,1,5,0,1,0
2015-2016,61,11,7056,Winterset,129,6,43,56,0,3,10,0,3,8
2015-2016,43,13,7092,Woodbine,24,3,10,7,0,2,1,0,1,0
2015-2016,97,12,7098,Woodbury Central,46,5,16,17,0,3,4,0,0,1
2015-2016,25,11,7110,Woodward-Granger,64,6,14,31,0,4,7,0,0,2
2014-2015,42.00,7.00,9.00,AGWSR,44,6,13,24,0,0,1,0,0,0
2014-2015,39.00,11.00,18.00,Adair-Casey,19,3,3,8,0,1,3,0,1,0
2014-2015,25.00,11.00,27.00,Adel DeSoto Minburn,116,19,34,36,1,4,13,0,8,1
2014-2015,75.00,12.00,63.00,Akron Westfield,36,5,13,14,0,0,3,0,1,0
2014-2015,11.00,5.00,72.00,Albert City-Truesdale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,68.00,15.00,81.00,Albia,87,6,21,44,0,3,3,0,5,5
2014-2015,57.00,10.00,99.00,Alburnett,62,6,16,27,0,0,9,0,4,0
2014-2015,42.00,7.00,108.00,Alden,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,55.00,5.00,126.00,Algona,96,18,17,46,0,1,11,0,2,1
2014-2015,3.00,1.00,135.00,Allamakee,93,9,17,45,0,1,18,0,2,1
2014-2015,12.00,7.00,153.00,North Butler,44,9,7,20,0,3,4,0,1,0
2014-2015,11.00,5.00,171.00,Alta,51,10,25,12,0,0,4,0,0,0
2014-2015,85.00,11.00,225.00,Ames,300,54,157,54,4,3,20,0,8,0
2014-2015,53.00,10.00,234.00,Anamosa,88,17,9,35,0,2,17,0,3,5
2014-2015,49.00,9.00,243.00,Andrew,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,77.00,11.00,261.00,Ankeny,596,70,256,155,4,14,50,0,12,35
2014-2015,12.00,7.00,279.00,Aplington-Parkersburg,56,9,6,14,0,0,1,0,0,26
2014-2015,32.00,5.00,333.00,North Union,45,4,10,28,0,0,2,0,1,0
2014-2015,24.00,12.00,355.00,Ar-We-Va,14,1,2,9,0,0,2,0,0,0
2014-2015,15.00,13.00,387.00,Atlantic,116,3,25,40,0,10,27,0,7,4
2014-2015,5.00,11.00,414.00,Audubon,44,8,10,15,1,3,6,0,1,0
2014-2015,18.00,12.00,423.00,Aurelia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,78.00,13.00,441.00,A-H-S-T,39,7,8,15,0,0,7,0,1,1
2014-2015,85.00,11.00,472.00,Ballard,131,19,47,41,0,0,17,0,7,0
2014-2015,47.00,12.00,504.00,Battle Creek-Ida Grove,79,4,26,35,0,1,8,0,2,3
2014-2015,50.00,11.00,513.00,Baxter,29,5,4,10,0,2,2,0,4,2
2014-2015,38.00,7.00,540.00,BCLUW,39,1,13,18,0,1,2,0,1,3
2014-2015,87.00,13.00,549.00,Bedford,33,5,10,8,0,2,2,0,1,5
2014-2015,6.00,10.00,576.00,Belle Plaine,27,8,2,11,0,0,4,0,2,0
2014-2015,49.00,9.00,585.00,Bellevue,59,10,9,29,0,2,7,0,2,0
2014-2015,99.00,7.00,594.00,Belmond-Klemme,49,1,6,23,1,2,8,0,4,4
2014-2015,16.00,9.00,603.00,Bennett,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,6.00,10.00,609.00,Benton,117,21,30,55,1,0,8,0,2,0
2014-2015,82.00,9.00,621.00,Bettendorf,320,42,103,120,1,3,13,0,10,28
2014-2015,90.00,15.00,657.00,Eddyville-Blakesburg-,66,4,25,20,0,1,4,0,1,11
2014-2015,77.00,11.00,720.00,Bondurant-Farrar,91,22,25,30,0,1,12,0,1,0
2014-2015,8.00,11.00,729.00,Boone,184,17,47,75,4,3,20,0,2,16
2014-2015,84.00,12.00,747.00,Boyden-Hull,53,9,6,21,0,0,14,0,2,1
2014-2015,41.00,7.00,819.00,West Hancock,35,6,7,14,0,0,6,0,2,0
2014-2015,79.00,7.00,846.00,Brooklyn-Guernsey-Malcom,38,6,7,23,0,0,2,0,0,0
2014-2015,95.00,7.00,873.00,North Iowa,33,4,11,13,0,1,3,0,1,0
2014-2015,29.00,15.00,882.00,Burlington,244,12,52,112,0,12,28,0,8,20
2014-2015,15.00,13.00,914.00,CAM,52,4,10,24,1,0,12,0,0,1
2014-2015,35.00,7.00,916.00,CAL,18,1,1,12,0,2,2,0,0,0
2014-2015,23.00,9.00,918.00,Calamus-Wheatland,36,3,8,18,0,0,4,0,1,2
2014-2015,23.00,9.00,936.00,Camanche,74,12,7,27,1,16,8,0,2,1
2014-2015,90.00,15.00,977.00,Cardinal,57,0,6,29,0,0,12,0,1,9
2014-2015,91.00,11.00,981.00,Carlisle,157,31,36,64,0,3,6,0,14,3
2014-2015,14.00,11.00,999.00,Carroll,109,17,26,45,1,3,14,0,3,0
2014-2015,7.00,7.00,1044.00,Cedar Falls,333,18,161,106,0,2,28,0,8,10
2014-2015,57.00,10.00,1053.00,Cedar Rapids,1062,130,301,405,0,30,87,1,43,65
2014-2015,57.00,10.00,1062.00,Center Point-Urbana,81,14,30,26,0,2,6,0,2,1
2014-2015,4.00,15.00,1071.00,Centerville,90,2,15,50,2,2,2,0,1,16
2014-2015,56.00,15.00,1079.00,Central Lee,75,4,16,28,1,0,2,0,6,18
2014-2015,22.00,1.00,1080.00,Central,35,3,13,7,0,1,10,0,1,0
2014-2015,23.00,9.00,1082.00,Central DeWitt,107,15,27,36,0,3,8,0,4,14
2014-2015,57.00,10.00,1089.00,Central City,40,8,17,11,0,0,4,0,0,0
2014-2015,27.00,13.00,1093.00,Central Decatur,58,8,6,25,1,6,9,0,3,0
2014-2015,60.00,12.00,1095.00,Central Lyon,36,4,12,11,0,0,8,0,1,0
2014-2015,59.00,15.00,1107.00,Chariton,102,8,14,50,0,6,13,0,8,3
2014-2015,34.00,7.00,1116.00,Charles City,112,10,21,54,1,2,13,0,3,8
2014-2015,24.00,12.00,1134.00,Charter Oak-Ute,20,3,7,9,0,0,1,0,0,0
2014-2015,18.00,12.00,1152.00,Cherokee,67,8,18,23,0,0,8,1,7,2
2014-2015,73.00,13.00,1197.00,Clarinda,76,8,16,35,0,2,12,0,1,2
2014-2015,99.00,5.00,1206.00,Clarion-Goldfield-Dows,68,4,12,36,0,4,9,0,3,0
2014-2015,20.00,13.00,1211.00,Clarke,69,13,8,29,0,2,9,0,4,4
2014-2015,12.00,7.00,1215.00,Clarksville,17,3,3,10,0,0,1,0,0,0
2014-2015,21.00,5.00,1218.00,Clay Central-Everly,24,1,4,14,0,0,5,0,0,0
2014-2015,52.00,10.00,1221.00,Clear Creek Amana,130,22,45,40,7,0,15,0,0,1
2014-2015,17.00,7.00,1233.00,Clear Lake,112,9,30,61,0,1,9,0,2,0
2014-2015,23.00,9.00,1278.00,Clinton,216,25,40,98,9,6,29,0,9,0
2014-2015,50.00,11.00,1332.00,Colfax-Mingo,42,5,10,16,0,1,9,0,1,0
2014-2015,57.00,10.00,1337.00,College,330,41,90,153,0,8,8,0,14,16
2014-2015,85.00,11.00,1350.00,Collins-Maxwell,35,4,8,20,0,3,0,0,0,0
2014-2015,85.00,11.00,1359.00,Colo-NESCO School,35,3,7,12,3,0,4,0,2,4
2014-2015,58.00,9.00,1368.00,Columbus,57,1,16,26,1,2,5,0,2,4
2014-2015,14.00,11.00,1413.00,Coon Rapids-Bayard,30,5,8,11,0,0,6,0,0,0
2014-2015,2.00,13.00,1431.00,Corning,55,3,15,20,1,5,6,0,2,3
2014-2015,41.00,7.00,1449.00,Corwith-Wesley,13,1,5,5,0,1,0,0,1,0
2014-2015,78.00,13.00,1476.00,Council Bluffs,606,57,101,259,7,11,78,4,22,67
2014-2015,88.00,13.00,1503.00,Creston,118,9,17,63,1,0,28,0,0,0
2014-2015,25.00,11.00,1576.00,Dallas Center-Grimes,168,26,64,51,0,1,23,0,3,0
2014-2015,29.00,15.00,1602.00,Danville,52,6,5,39,0,0,2,0,0,0
2014-2015,82.00,9.00,1611.00,Davenport,956,95,198,373,10,35,64,1,35,145
2014-2015,26.00,15.00,1619.00,Davis County,80,7,14,43,0,6,4,0,5,1
2014-2015,96.00,1.00,1638.00,Decorah Community,146,49,39,34,2,0,19,0,1,2
2014-2015,23.00,9.00,1675.00,Delwood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,24.00,12.00,1701.00,Denison,194,10,67,70,1,5,30,0,1,10
2014-2015,9.00,7.00,1719.00,Denver,42,10,19,10,0,0,3,0,0,0
2014-2015,77.00,11.00,1737.00,Des Moines Independent,1739,186,433,546,12,51,122,4,28,357
2014-2015,80.00,13.00,1782.00,Diagonal,9,1,0,5,0,0,3,0,0,0
2014-2015,38.00,7.00,1791.00,Dike-New Hartford,49,3,20,21,0,2,2,0,1,0
2014-2015,31.00,1.00,1863.00,Dubuque,758,137,182,263,5,31,112,1,19,8
2014-2015,7.00,7.00,1908.00,Dunkerton,30,0,10,12,1,0,5,0,0,2
2014-2015,43.00,13.00,1917.00,Boyer Valley,33,6,10,15,0,0,2,0,0,0
2014-2015,16.00,9.00,1926.00,Durant,49,6,19,16,1,0,6,0,1,0
2014-2015,99.00,5.00,1944.00,Eagle Grove,51,5,6,30,2,0,5,0,3,0
2014-2015,61.00,11.00,1953.00,Earlham,47,9,9,20,0,0,7,0,2,0
2014-2015,10.00,7.00,1963.00,East Buchanan,32,6,11,12,0,0,3,0,0,0
2014-2015,49.00,9.00,1965.00,Easton Valley,43,2,5,20,1,1,10,1,3,0
2014-2015,64.00,7.00,1968.00,East Marshall,62,13,14,21,0,1,6,0,3,4
2014-2015,88.00,13.00,1970.00,East Union,21,1,1,12,0,2,2,0,3,0
2014-2015,3.00,1.00,1972.00,Eastern Allamakee,31,2,3,19,0,1,4,0,1,1
2014-2015,97.00,12.00,1975.00,River Valley,22,3,7,7,1,0,4,0,0,0
2014-2015,28.00,1.00,1989.00,Edgewood-Colesburg,42,5,11,0,11,4,10,0,0,1
2014-2015,42.00,7.00,2007.00,Eldora-New Providence,68,13,17,23,0,1,6,0,6,2
2014-2015,74.00,5.00,2088.00,Emmetsburg,45,6,6,27,0,1,5,0,0,0
2014-2015,48.00,10.00,2097.00,English Valleys,39,4,4,19,0,0,8,0,1,3
2014-2015,73.00,13.00,2113.00,Essex,12,2,1,5,0,1,2,0,1,0
2014-2015,32.00,5.00,2124.00,Estherville Lincoln,74,4,6,47,0,0,11,0,1,5
2014-2015,83.00,11.00,2151.00,Exira-Elk Horn-,34,6,3,20,0,0,2,0,0,3
2014-2015,51.00,15.00,2169.00,Fairfield,104,9,17,32,0,5,19,1,2,19
2014-2015,36.00,13.00,2205.00,Farragut,23,5,4,5,0,2,7,0,0,0
2014-2015,95.00,7.00,2295.00,Forest City,89,22,18,30,0,0,14,0,2,3
2014-2015,94.00,5.00,2313.00,Fort Dodge,222,8,29,145,1,2,20,0,6,11
2014-2015,56.00,15.00,2322.00,Fort Madison,128,12,15,51,0,2,30,3,8,7
2014-2015,36.00,13.00,2369.00,Fremont-Mills,41,2,16,18,0,1,4,0,0,0
2014-2015,47.00,12.00,2376.00,Galva-Holstein,59,10,16,23,0,0,7,0,3,0
2014-2015,41.00,7.00,2403.00,Garner-Hayfield,90,5,22,42,1,3,14,1,1,1
2014-2015,60.00,12.00,2457.00,George-Little Rock,28,3,5,15,0,0,4,0,1,0
2014-2015,85.00,11.00,2466.00,Gilbert,104,20,53,23,0,1,6,0,0,1
2014-2015,46.00,5.00,2493.00,Gilmore City-Bradgate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,38.00,7.00,2502.00,Gladbrook-Reinbeck,44,5,19,16,0,2,0,0,1,1
2014-2015,65.00,13.00,2511.00,Glenwood,160,9,43,38,0,4,10,0,1,55
2014-2015,14.00,11.00,2520.00,Glidden-Ralston,25,3,6,13,0,0,2,0,1,0
2014-2015,74.00,5.00,2556.00,Graettinger-Terril,18,1,2,10,0,0,3,0,1,1
2014-2015,1.00,13.00,2673.00,Nodaway Valley,48,6,7,22,0,2,10,1,0,0
2014-2015,86.00,7.00,2682.00,GMG,35,3,8,18,0,0,2,0,3,1
2014-2015,79.00,7.00,2709.00,Grinnell-Newburg,116,29,22,39,0,2,12,0,1,11
2014-2015,15.00,13.00,2718.00,Griswold,48,9,15,13,0,1,7,0,2,1
2014-2015,38.00,7.00,2727.00,Grundy Center,47,4,9,20,0,1,2,0,1,10
2014-2015,39.00,11.00,2754.00,Guthrie Center,33,5,7,11,0,1,7,0,1,1
2014-2015,22.00,1.00,2763.00,Clayton Ridge,60,16,21,13,0,0,9,0,1,0
2014-2015,48.00,10.00,2766.00,H-L-V,22,4,5,10,0,0,1,0,2,0
2014-2015,36.00,13.00,2772.00,Hamburg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,35.00,7.00,2781.00,Hampton-Dumont,84,1,31,40,0,3,7,0,2,0
2014-2015,83.00,13.00,2826.00,Harlan,106,11,36,41,0,5,10,0,2,1
2014-2015,89.00,15.00,2834.00,Harmony,20,0,3,10,0,0,2,0,2,3
2014-2015,30.00,5.00,2846.00,Harris-Lake Park,14,1,4,3,0,6,0,0,0,0
2014-2015,71.00,12.00,2862.00,Hartley-Melvin-Sanborn,55,6,13,25,0,0,6,0,4,1
2014-2015,92.00,10.00,2977.00,Highland,58,11,9,27,0,0,8,0,2,1
2014-2015,75.00,12.00,2988.00,Hinton,52,11,14,24,0,1,1,0,1,0
2014-2015,45.00,1.00,3029.00,Howard-Winneshiek,84,10,29,38,0,1,5,0,1,0
2014-2015,42.00,7.00,3033.00,Hubbard-Radcliffe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,7.00,7.00,3042.00,Hudson,57,8,35,7,0,4,3,0,0,0
2014-2015,46.00,5.00,3060.00,Humboldt,118,10,27,67,0,4,8,0,2,0
2014-2015,10.00,7.00,3105.00,Independence,94,5,22,36,1,0,24,2,0,4
2014-2015,91.00,11.00,3114.00,Indianola,258,41,72,87,5,6,25,0,10,12
2014-2015,61.00,11.00,3119.00,Interstate 35,67,14,11,21,0,4,9,0,4,4
2014-2015,52.00,10.00,3141.00,Iowa City,870,122,304,277,3,16,56,0,21,71
2014-2015,42.00,7.00,3150.00,Iowa Falls,93,13,15,36,0,1,16,1,8,3
2014-2015,48.00,10.00,3154.00,Iowa Valley,47,10,10,18,1,1,6,1,0,0
2014-2015,24.00,13.00,3168.00,IKM-Manning,58,11,16,26,0,2,0,0,2,1
2014-2015,9.00,7.00,3186.00,Janesville Consolidated,33,8,5,9,1,0,0,0,4,6
2014-2015,37.00,5.00,3195.00,Greene County,83,8,30,29,0,3,13,0,0,0
2014-2015,10.00,7.00,3204.00,Jesup,44,2,12,23,0,0,6,0,0,1
2014-2015,77.00,11.00,3231.00,Johnston,489,73,205,127,1,4,23,0,11,45
2014-2015,56.00,15.00,3312.00,Keokuk,145,14,17,50,1,11,27,0,5,20
2014-2015,54.00,15.00,3330.00,Keota,23,0,6,14,1,1,1,0,0,0
2014-2015,75.00,12.00,3348.00,Kingsley-Pierson,17,1,3,11,0,0,1,0,1,0
2014-2015,63.00,11.00,3375.00,Knoxville,123,14,15,69,1,4,9,0,0,11
2014-2015,95.00,7.00,3420.00,Lake Mills,50,6,14,21,1,1,0,0,2,5
2014-2015,27.00,13.00,3465.00,Lamoni,34,18,3,6,1,0,3,1,1,1
2014-2015,76.00,5.00,3537.00,Laurens-Marathon,18,4,2,10,0,0,1,0,0,1
2014-2015,97.00,12.00,3555.00,Lawton-Bronson,37,4,13,11,0,1,1,0,7,0
2014-2015,75.00,12.00,3600.00,Le Mars,183,26,71,50,0,2,30,0,3,1
2014-2015,87.00,13.00,3609.00,Lenox,38,8,6,16,1,0,3,0,0,4
2014-2015,78.00,13.00,3645.00,Lewis Central,208,15,77,82,1,8,14,0,7,4
2014-2015,16.00,10.00,3691.00,North Cedar,68,10,13,25,1,1,11,0,5,2
2014-2015,57.00,10.00,3715.00,Linn-Mar,493,80,208,133,1,7,19,0,9,36
2014-2015,57.00,10.00,3744.00,Lisbon,50,9,15,17,1,0,8,0,0,0
2014-2015,43.00,13.00,3798.00,Logan-Magnolia,38,7,12,14,0,0,1,0,4,0
2014-2015,52.00,10.00,3816.00,Lone Tree,40,2,11,21,1,1,4,0,0,0
2014-2015,58.00,9.00,3841.00,Louisa-Muscatine,63,11,6,30,3,0,12,0,0,1
2014-2015,55.00,5.00,3897.00,LuVerne,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,50.00,11.00,3906.00,Lynnville-Sully,33,10,5,10,0,1,4,0,1,2
2014-2015,8.00,11.00,3942.00,Madrid,47,3,11,26,0,2,3,0,2,0
2014-2015,65.00,13.00,3978.00,East Mills,32,6,5,15,0,0,2,0,4,0
2014-2015,13.00,5.00,4023.00,Manson Northwest Webster,43,3,9,22,0,3,4,0,1,1
2014-2015,67.00,12.00,4033.00,Maple Valley-Anthon Oto,47,8,8,27,0,0,1,0,3,0
2014-2015,49.00,9.00,4041.00,Maquoketa,116,7,23,40,0,2,29,0,5,10
2014-2015,28.00,1.00,4043.00,Maquoketa Valley,42,8,7,17,1,0,8,0,1,0
2014-2015,18.00,12.00,4068.00,Marcus-Meriden-Cleghorn,36,5,16,12,2,0,1,0,0,0
2014-2015,57.00,10.00,4086.00,Marion Independent,147,21,39,57,1,1,16,0,2,10
2014-2015,64.00,7.00,4104.00,Marshalltown,305,10,43,150,0,1,27,0,6,68
2014-2015,91.00,11.00,4122.00,Martensdale-St Marys,41,4,10,19,0,2,3,0,3,0
2014-2015,17.00,7.00,4131.00,Mason City,228,16,44,111,3,4,6,1,4,39
2014-2015,84.00,12.00,4149.00,MOC-Floyd Valley,92,23,25,22,1,0,13,0,7,1
2014-2015,29.00,15.00,4203.00,Mediapolis,67,8,21,29,0,1,4,0,4,0
2014-2015,63.00,11.00,4212.00,Melcher-Dallas,24,2,3,10,0,1,5,0,3,0
2014-2015,53.00,10.00,4269.00,Midland,36,3,3,18,1,1,6,0,3,1
2014-2015,92.00,10.00,4271.00,Mid-Prairie,81,10,18,35,1,4,12,0,1,0
2014-2015,43.00,13.00,4356.00,Missouri Valley,59,6,22,19,0,3,1,1,4,3
2014-2015,22.00,1.00,4419.00,MFL MarMac,52,4,11,18,0,4,7,0,4,4
2014-2015,79.00,7.00,4437.00,Montezuma,38,9,7,17,0,2,2,0,0,1
2014-2015,53.00,10.00,4446.00,Monticello,81,11,27,27,2,1,5,0,2,6
2014-2015,4.00,15.00,4491.00,Moravia,18,1,1,11,0,1,2,0,1,1
2014-2015,93.00,13.00,4505.00,Mormon Trail,17,0,1,11,0,0,4,0,1,0
2014-2015,58.00,15.00,4509.00,Morning Sun,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,4.00,15.00,4518.00,Moulton-Udell,11,1,1,3,0,1,4,0,1,0
2014-2015,80.00,13.00,4527.00,Mount Ayr,39,3,5,15,0,2,14,0,0,0
2014-2015,44.00,15.00,4536.00,Mount Pleasant,157,17,53,52,0,3,17,0,10,5
2014-2015,57.00,10.00,4554.00,Mount Vernon,73,24,21,22,0,0,5,0,1,0
2014-2015,20.00,13.00,4572.00,Murray,33,5,3,16,1,2,2,0,0,4
2014-2015,70.00,9.00,4581.00,Muscatine,328,23,93,121,4,5,12,0,13,57
2014-2015,19.00,7.00,4599.00,Nashua-Plainfield,45,6,15,16,0,1,4,0,3,0
2014-2015,85.00,11.00,4617.00,Nevada,96,9,29,30,0,4,18,1,1,4
2014-2015,11.00,5.00,4644.00,Newell-Fonda,30,8,10,8,0,0,2,0,1,1
2014-2015,19.00,1.00,4662.00,New Hampton,82,1,28,27,9,2,3,0,3,9
2014-2015,44.00,15.00,4689.00,New London,37,4,5,18,0,0,3,0,1,6
2014-2015,50.00,11.00,4725.00,Newton,201,25,43,90,1,1,25,2,5,9
2014-2015,98.00,7.00,4772.00,Central Springs,53,3,5,38,0,0,4,0,3,0
2014-2015,23.00,9.00,4773.00,Northeast,76,11,8,41,0,3,12,0,1,0
2014-2015,33.00,1.00,4774.00,North Fayette,93,16,29,36,0,2,7,0,1,2
2014-2015,40.00,5.00,4775.00,Northeast Hamilton,14,1,2,5,0,0,3,0,1,2
2014-2015,62.00,15.00,4776.00,North Mahaska,39,7,9,14,0,2,6,0,1,0
2014-2015,57.00,10.00,4777.00,North Linn,46,7,12,20,0,3,3,0,0,1
2014-2015,55.00,5.00,4778.00,North Kossuth,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,77.00,11.00,4779.00,North Polk,85,7,28,40,0,3,5,0,2,0
2014-2015,82.00,9.00,4784.00,North Scott,247,33,80,94,1,7,20,0,7,5
2014-2015,86.00,7.00,4785.00,North Tama County,41,7,8,19,0,0,2,0,0,5
2014-2015,96.00,1.00,4787.00,North Winneshiek,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,98.00,7.00,4788.00,Northwood-Kensett,31,1,4,21,0,1,1,0,3,0
2014-2015,91.00,11.00,4797.00,Norwalk,162,41,46,56,0,3,7,0,2,7
2014-2015,81.00,5.00,4860.00,Odebolt-Arthur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,33.00,1.00,4869.00,Oelwein,102,6,12,47,1,4,11,0,7,14
2014-2015,8.00,11.00,4878.00,Ogden,64,6,15,33,3,0,3,0,3,1
2014-2015,30.00,5.00,4890.00,Okoboji,62,8,19,21,1,0,5,0,6,2
2014-2015,53.00,10.00,4905.00,Olin Consolidated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,1.00,13.00,4978.00,Orient-Macksburg,9,0,1,6,0,0,2,0,0,0
2014-2015,66.00,7.00,4995.00,Osage,67,3,28,22,0,0,4,7,3,0
2014-2015,62.00,15.00,5013.00,Oskaloosa,160,47,36,44,0,1,26,0,6,0
2014-2015,90.00,15.00,5049.00,Ottumwa,298,17,48,135,1,3,45,2,10,37
2014-2015,39.00,11.00,5121.00,Panorama,54,12,20,15,0,2,1,0,0,4
2014-2015,37.00,5.00,5139.00,Paton-Churdan,15,4,2,8,0,0,1,0,0,0
2014-2015,50.00,11.00,5160.00,PCM,78,15,16,20,0,5,14,0,6,2
2014-2015,54.00,15.00,5163.00,Pekin,50,1,2,43,0,1,1,0,1,1
2014-2015,63.00,11.00,5166.00,Pella,135,39,42,34,2,2,9,0,3,4
2014-2015,25.00,11.00,5184.00,Perry,127,7,29,44,0,3,22,0,3,19
2014-2015,82.00,9.00,5250.00,Pleasant Valley,308,46,139,79,0,7,28,0,7,2
2014-2015,63.00,11.00,5256.00,Pleasantville,33,10,7,10,0,3,3,0,0,0
2014-2015,76.00,5.00,5283.00,Pocahontas Area,38,2,13,16,0,0,3,0,3,1
2014-2015,3.00,1.00,5310.00,Postville,43,2,11,19,0,0,11,0,0,0
2014-2015,94.00,5.00,5325.00,Prairie Valley,78,2,12,43,0,3,14,0,3,1
2014-2015,2.00,13.00,5328.00,Prescott,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,69.00,13.00,5463.00,Red Oak,73,11,17,18,0,7,7,0,2,11
2014-2015,75.00,12.00,5486.00,Remsen-Union,25,2,5,10,0,0,2,0,0,6
2014-2015,45.00,1.00,5508.00,Riceville,26,2,7,12,0,0,3,0,1,1
2014-2015,78.00,13.00,5510.00,Riverside,47,8,12,17,1,2,3,0,4,0
2014-2015,84.00,12.00,5607.00,Rock Valley,55,6,7,27,0,2,6,0,0,7
2014-2015,85.00,11.00,5643.00,Roland-Story,72,7,25,27,0,0,9,0,1,3
2014-2015,34.00,7.00,5697.00,Rudd-Rockford-Marble Rk,38,2,10,14,0,2,8,0,2,0
2014-2015,74.00,5.00,5724.00,Ruthven-Ayrshire,19,0,3,13,0,0,3,0,0,0
2014-2015,66.00,7.00,5751.00,St Ansgar,54,4,17,27,0,1,3,0,0,2
2014-2015,77.00,11.00,5805.00,Saydel,109,10,15,50,1,5,11,1,2,14
2014-2015,81.00,5.00,5823.00,Schaller-Crestland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,24.00,12.00,5832.00,Schleswig,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-2015,97.00,12.00,5877.00,Sergeant Bluff-Luton,112,13,49,36,1,2,7,0,3,1
2014-2015,93.00,15.00,5895.00,Seymour,10,0,2,6,0,0,2,0,0,0
